title,release_date,release_year,worldwide_box_office,split
Splash,1984-03-09,1984,69821334.0,train
Blood Simple,1985-01-18,1984,4228292.0,train
The Natural,1984-05-11,1984,47951979.0,train
Bachelor Party,1984-06-29,1984,38435947.0,train
Nausicaä of the Valley of the Wind,1987-11-25,1984,8736506.0,train
Friday the 13th: the Final Chapter,1984-04-13,1984,32980880.0,train
Hardbodies,1984-05-04,1984,7121719.0,train
Against All Odds,1984-03-02,1984,21689062.0,train
Supergirl,1984-11-21,1984,14296438.0,train
The Bounty,1984-05-04,1984,8613462.0,train
Firestarter,1984-05-11,1984,17080167.0,train
C.H.U.D.,1984-08-31,1984,4654423.0,train
The Woman in Red,1984-08-15,1984,25348610.0,train
Runaway,1984-12-14,1984,6770587.0,train
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984-10-05,1984,6254148.0,train
Star Trek III: The Search for Spock,1984-06-01,1984,76471046.0,train
Repo Man,1984-03-02,1984,129000.0,train
2010: the Year We Make Contact,1984-12-07,1984,40400657.0,train
The Killing Fields,1985-02-01,1984,34700291.0,train
The Cotton Club,1984-12-14,1984,25928721.0,train
Starman,1984-12-14,1984,28744356.0,train
Night of the Comet,1984-11-16,1984,14418922.0,train
Blame It on Rio,1984-02-17,1984,18644570.0,train
Dreamscape,1984-08-17,1984,12145169.0,train
Crimes of Passion,1984-10-19,1984,2912945.0,train
The Philadelphia Experiment,1984-08-03,1984,8103330.0,train
Places in the Heart,1984-10-05,1984,34901614.0,train
Bolero,1984-08-31,1984,8914881.0,train
Cannonball Run II,1984-06-29,1984,28078073.0,train
Stranger Than Paradise,1984-10-04,1984,2436000.0,train
The Ice Pirates,1984-03-16,1984,14255801.0,train
A Passage to India,1985-02-01,1984,27201487.0,train
Purple Rain,1984-07-27,1984,70263155.0,train
The Hotel New Hampshire,1984-03-09,1984,5142858.0,train
The Hit,1985-03-08,1984,876775.0,train
Sheena,1984-08-17,1984,5778353.0,train
Missing in Action,1984-11-16,1984,22812411.0,train
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-03-30,1984,45858563.0,train
The Muppets Take Manhattan,1984-07-13,1984,25534703.0,train
The Wild Life,1984-09-28,1984,11020375.0,train
