title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
The Pursuit of D.B. Cooper,1981-11-13,16.300417291085605,1981,11.0,4.0,1,0,,0,,0,,Unknown,holiday,3702028.0,15.124391605688356
Rollover,1981-12-11,16.588099342704055,1981,12.0,4.0,1,0,,1,103300686.0,1,103300686.0,Unknown,holiday,10851261.0,16.199791944550924
Only When I Laugh,1981-09-25,,1981,9.0,3.0,0,0,,0,,3,58102907.666666664,Unknown,fall,25524778.0,17.055160263799266
Honky Tonk Freeway,1981-08-21,16.993564429978885,1981,8.0,3.0,0,0,,0,,2,17766556.0,Unknown,winter,2004742.0,14.511026430955983
Paternity,1981-10-02,,1981,10.0,4.0,0,0,,1,66132626.0,7,43904398.28571428,Unknown,fall,18838812.0,16.751429820881356
King of the Mountain,1981-05-01,14.508658238524095,1981,5.0,2.0,0,0,,0,,0,,Unknown,summer,1791147.0,14.39836731302795
The Devil and Max Devlin,1981-03-06,,1981,3.0,1.0,0,0,,1,11000000.0,3,11333333.333333334,Unknown,spring,16000000.0,16.588099342704055
The Amateur,1982-02-12,,1981,2.0,1.0,0,1,11000000.0,0,,0,,Unknown,winter,6892098.0,15.745886241007346
Comin' at Ya!,1981-07-24,,1981,7.0,3.0,0,0,,0,,0,,Unknown,summer,12000000.0,16.300417291085605
Le Pont du Nord,1982-03-24,,1981,3.0,1.0,0,0,,0,,0,,Unknown,spring,17110.0,9.747476810531971
Silence of the North,1981-10-23,,1981,10.0,4.0,0,0,,1,3910019.0,12,30814768.666666668,Unknown,fall,1622898.0,14.299724614122873
Fast Times at Ridgemont High,1982-08-13,15.319588176962746,1982,8.0,3.0,0,0,,0,,23,23116202.86956522,Unknown,winter,27092880.0,17.11478155761295
Blade Runner,1982-06-25,17.147715103853763,1982,6.0,2.0,0,0,,1,389925971.0,2,20716716.5,Unknown,summer,41676878.0,17.54545707256735
The Thing,1982-06-25,16.52356082573315,1982,6.0,2.0,0,2,23346704.0,1,25244626.0,23,23116202.86956522,Unknown,summer,19632053.0,16.792674196540293
Conan the Barbarian,1982-05-14,16.811242881518265,1982,5.0,2.0,0,0,,0,,23,23116202.86956522,Unknown,summer,68851475.0,18.047462220817646
E.T. the Extra-Terrestrial,1982-06-11,16.166885910365842,1982,6.0,2.0,0,1,389925971.0,0,,23,23116202.86956522,Unknown,summer,792910554.0,20.491220980047075
First Blood,1982-10-22,16.52356082573315,1982,10.0,4.0,0,0,,1,19905359.0,0,,Unknown,fall,125212904.0,18.645526086398274
An Officer and a Gentleman,1982-08-13,15.830413711839864,1982,8.0,3.0,0,0,,1,22743674.0,2,15333970.5,Unknown,winter,129795554.0,18.681471116655594
Grease 2,1982-06-11,16.395727463314174,1982,6.0,2.0,0,0,,0,,11,68112531.36363636,Unknown,summer,15171476.0,16.5349277098021
Annie,1982-06-18,17.72753358339242,1982,6.0,2.0,0,2,5456292.5,0,,8,44828414.125,Unknown,summer,57063861.0,17.85968158459978
Poltergeist,1982-06-04,16.185754392890075,1982,6.0,2.0,0,1,7886857.0,0,,5,15264279.6,Unknown,summer,77142388.0,18.161163479930348
48 Hrs.,1982-12-08,16.300417291085605,1982,12.0,4.0,1,1,15795189.0,0,,11,68112531.36363636,Unknown,holiday,78868508.0,18.183292580669043
